Date,Product,Region,Units,Unit_Price,Total,Gross Profit,Profit Margin
2024-01-05,Laptop,North,12,999.99,11999.880000000001,10999.890000000001,91.66666666666667
2024-01-08,Smartphone,South,25,699.5,17487.5,16788.0,96.0
2024-01-10,Tablet,East,18,450.0,8100.0,7650.0,94.44444444444444
2024-01-12,Monitor,West,10,320.25,3202.5,2882.25,90.0
2024-01-15,Keyboard,North,40,45.99,1839.6000000000001,1793.6100000000001,97.5
2024-01-18,Mouse,South,55,24.5,1347.5,1323.0,98.18181818181819
2024-01-21,Headphones,East,30,89.99,2699.7,2609.71,96.66666666666669
2024-01-24,Printer,West,8,210.0,1680.0,1470.0,87.5
2024-01-27,Webcam,North,15,74.95,1124.25,1049.3,93.33333333333333
2024-02-01,Speaker,South,20,120.75,2415.0,2294.25,95.0
2024-02-04,USB Drive,East,65,18.25,1186.25,1168.0,98.46153846153847
2024-02-07,Charger,West,35,29.99,1049.6499999999999,1019.6599999999999,97.14285714285714
2024-02-10,Laptop,South,9,1099.0,9891.0,8792.0,88.88888888888889
2024-02-13,Smartphone,North,22,749.99,16499.78,15749.789999999999,95.45454545454545
2024-02-16,Monitor,East,11,350.0,3850.0,3500.0,90.9090909090909
2024-02-19,Keyboard,West,47,42.5,1997.5,1955.0,97.87234042553192
2024-02-22,Headphones,North,26,95.0,2470.0,2375.0,96.15384615384616
2024-02-25,Printer,South,7,230.0,1610.0,1380.0,85.71428571428571
2024-03-01,Tablet,West,14,485.5,6797.0,6311.5,92.85714285714286
2024-03-04,Speaker,North,18,132.0,2376.0,2244.0,94.44444444444444
2024-03-07,Mouse,East,60,22.75,1365.0,1342.25,98.33333333333333
2024-03-10,Webcam,South,12,79.99,959.8799999999999,879.8899999999999,91.66666666666666
2024-03-13,Laptop,West,6,1299.0,7794.0,6495.0,83.33333333333334
2024-03-16,Smartphone,East,19,789.99,15009.81,14219.82,94.73684210526316
2024-03-19,USB Drive,North,72,16.5,1188.0,1171.5,98.61111111111111
2024-03-22,Charger,South,28,31.25,875.0,843.75,96.42857142857143
2024-03-25,Monitor,West,9,340.0,3060.0,2720.0,88.88888888888889
2024-03-28,Keyboard,East,42,48.0,2016.0,1968.0,97.61904761904762
2024-03-31,Headphones,South,33,92.5,3052.5,2960.0,96.96969696969697
